Team,Weight
1,250
1,255
1,255
1,264
1,250
1,265
1,245
1,252
1,266
1,246
1,251
1,263
1,248
1,228
1,221
1,223
1,220
2,260
2,271
2,258
2,263
2,267
2,254
2,255
2,250
2,248
2,240
2,254
2,275
2,270
2,225
2,222
2,230
2,225
3,270
3,250
3,281
3,273
3,257
3,264
3,233
3,254
3,268
3,252
3,256
3,265
3,252
3,256
3,235
3,216
3,241
4,260
4,255
4,265
4,257
4,268
4,263
4,247
4,253
4,251
4,252
4,266
4,264
4,210
4,236
4,225
4,230
4,232
5,247
5,249
5,255
5,247
5,244
5,245
5,249
5,260
5,217
5,208
5,228
5,253
5,249
5,223
5,221
5,228
5,271
