numrock,volcanic,rockcell,nearslope,nearsouth,lr
6,1,8,33.84,-33,1
4,1,18,29.16,-6,1
3,1,0,32,11,1
3,1,7,28.52,-92,1
0,1,0,34.53,-63,1
1,1,12,32.24,-22,1
3,1,11,31.72,-87,1
0,1,0,21.71,-69,1
2,1,4,35.51,-80,1
2,1,9,34.79,-73,1
4,1,19,31.79,-48,1
2,0,26,43.13,-97,1
2,1,5,27.14,-98,1
1,1,26,25.27,24,1
2,1,18,27.2,-52,1
1,1,22,17.57,-72,1
3,1,15,37.62,-79,1
2,1,11,27.56,-98,1
6,1,9,18.15,-95,1
4,1,7,23.04,-7,1
2,1,4,31.97,29,1
2,1,2,33.84,-36,1
7,1,4,22.57,-95,1
3,1,4,32.63,-19,1
4,1,15,34.55,-22,1
2,1,13,14.55,-92,1
2,1,18,29.78,-88,1
4,1,15,42.45,-9,1
5,1,19,23.86,-98,1
1,1,0,38.25,12,1
3,1,0,25.25,45,1
1,1,0,35.14,-96,1
4,1,0,13.8,-91,1
4,1,2,17.96,-95,1
1,1,0,35.01,-87,1
2,1,19,34.93,-66,1
3,1,30,53.33,-39,1
4,1,27,43.57,-28,1
3,1,19,26.54,-95,1
4,1,30,45.94,-61,1
2,1,30,52.47,-53,1
2,1,30,22.62,-97,1
1,1,30,29.39,-87,1
2,1,30,49.79,-84,1
4,1,30,27.32,-78,1
2,1,9,24.13,-96,1
2,0,30,50.48,-98,1
1,1,30,34.05,-99,1
1,1,10,26.94,-93,1
2,1,30,34.35,-87,1
2,1,24,39.42,-94,1
1,0,26,46.92,-97,1
2,1,25,20.88,-29,1
2,1,21,31.24,-71,1
3,1,3,26.27,-10,1
1,1,0,33.84,-60,1
3,1,18,11.95,-98,1
4,1,26,34.77,-93,1
7,1,29,47.93,-92,1
2,1,28,18.32,39,1
0,1,0,17.54,-99,1
4,1,6,18.9,-58,1
6,1,16,26.52,-43,1
4,1,14,28.3,-99,1
4,1,8,27.68,-98,1
3,1,18,24.65,-38,1
2,1,19,23.87,-92,1
4,1,22,30.33,-99,1
3,1,27,43.85,-98,1
1,1,18,21.44,-5,1
0,0,0,37.78,-50,1
0,0,0,10.52,-93,1
1,0,2,8.65,-97,1
0,0,0,18.51,14,0
0,0,0,26.09,-56,0
0,0,0,19.07,-55,0
0,0,0,35.5,-15,0
0,0,0,13.83,-7,0
0,0,0,17.21,-74,0
1,0,1,13.95,-81,0
1,0,0,38.63,-88,0
0,0,0,24.79,-76,0
2,1,0,16.93,-44,0
0,1,0,25.32,14,0
1,1,0,21.85,-88,0
5,1,0,20.5,-22,0
0,1,0,15.69,-93,0
1,0,0,13.19,-48,0
0,0,0,13.51,-13,0
0,0,0,7.41,-4,0
0,0,0,15.75,-79,0
0,0,0,10.83,-97,0
0,0,0,25.22,-74,0
0,0,0,20.19,-35,0
0,0,0,17.81,-19,0
