"","trip","Year","month","gear","light","fleet","bait","hook","hooks","sets","SWO","BUM","lat5","lon5","lat","lon","hbf","habSWO","habBUM","season","area"
"1","10.1990.4.1.0.-40",1990,4,10,1,1,2,4,0.5,1,4,0,0,-40,3.5,-40.5,2,3.1846e-08,5.4387e-08,2,"N"
"2","10.1990.7.1.40.-40",1990,7,10,1,1,2,4,4.5,9,31,0,40,-40,44.5,-42.5,2,3.8024e-08,9.9396e-10,3,"N"
"3","10.1990.8.1.45.-30",1990,8,10,1,1,2,4,1.15,2,7,0,45,-30,47.5,-33,2,4.29275e-08,4.68385e-10,3,"N"
"4","10.1991.2.1.20.-55",1991,2,10,1,1,2,4,0.5,1,2,0,20,-55,22.5,-55.5,2,2.4698e-08,6.7876e-08,1,"N"
"5","10.1992.10.1.50.-35",1992,10,10,1,1,2,4,1.2,2,7,0,50,-35,51.5,-38.5,2,3.0619e-08,5.6354e-12,4,"N"
"6","10.1993.5.1.30.-70",1993,5,10,1,1,2,4,2.5,5,14,0,30,-70,32.5,-73.5,2,2.5709e-08,2.8516e-08,2,"N"
"7","10.1998.4.1.30.-75",1998,4,10,1,1,2,4,0.5,1,4,0,30,-75,31.5,-75.5,2,2.4129e-08,2.8864e-08,2,"N"
"8","100.1990.10.1.40.-65",1990,10,100,3,1,4,4,0.549,1,7,0,40,-65,40.5,-67.5,3,4.0519e-08,1.5792e-09,4,"N"
"9","100.1991.2.1.25.-70",1991,2,100,3,1,4,4,1.62,6,9,0,25,-70,28.5,-72,3,2.8466e-08,5.55395e-08,1,"N"
"10","100.1991.3.1.30.-75",1991,3,100,3,1,4,4,0.432,2,3,0,30,-75,30.5,-76.5,3,2.9091e-08,4.9379e-08,1,"N"
"11","100.1992.7.1.25.-70",1992,7,100,3,1,4,4,0.378,1,2,0,25,-70,29.5,-71.5,3,3.0804e-08,5.5798e-08,3,"N"
"12","100.1992.8.1.40.-65",1992,8,100,3,1,4,4,2.946,7,23,1,40,-65,40.5,-66.5,3,5.7458e-08,4.0553e-09,3,"N"
"13","100.1994.11.1.30.-70",1994,11,100,3,1,4,4,0.321,1,1,0,30,-70,32.5,-72.5,3,2.9805e-08,4.2143e-08,4,"N"
"14","100.1994.12.1.30.-70",1994,12,100,3,1,4,4,0.9,3,5,0,30,-70,32.5,-73.5,3,3.0745e-08,4.6468e-08,4,"N"
"15","100.1994.5.1.25.-70",1994,5,100,3,1,4,4,1.236,5,12,0,25,-70,27.5,-73.5,3,3.1338e-08,4.4625e-08,2,"N"
"16","100.1994.9.1.45.-35",1994,9,100,3,1,4,4,1.998,4,35,0,45,-35,48,-37.5,3,4.72935e-08,7.25115e-10,3,"N"
"17","100.1996.6.1.30.-70",1996,6,100,3,1,4,4,0.6,2,3,0,30,-70,32.5,-73.5,3,2.984e-08,4.0383e-08,2,"N"
"18","100.1996.7.1.45.-35",1996,7,100,3,1,4,4,1.8,2,20,0,45,-35,45.5,-39.5,3,3.9249e-08,1.8169e-09,3,"N"
"19","100.1999.1.1.15.-65",1999,1,100,3,1,4,4,0.6,2,4,1,15,-65,17.5,-67.5,3,3.1831e-08,1.3216e-07,1,"N"
"20","101.1991.3.1.35.-65",1991,3,101,3,1,4,4,0.4,1,2,0,35,-65,37.5,-69.5,4,3.1509e-08,7.5115e-09,1,"N"
"21","101.1992.1.1.35.-70",1992,1,101,3,1,4,4,0.5,1,2,0,35,-70,36.5,-71.5,4,3.1402e-08,9.8383e-09,1,"N"
"22","101.1994.1.1.25.-85",1994,1,101,3,1,4,4,0.8,1,5,0,25,-85,27.5,-86.5,4,3.4728e-08,3.0952e-08,1,"N"
"23","101.1994.12.1.25.-70",1994,12,101,3,1,4,4,0.9,3,5,0,25,-70,28.5,-72.5,4,3.1449e-08,5.9853e-08,4,"N"
"24","101.1997.10.1.25.-70",1997,10,101,3,1,4,4,5.104,13,28,1,25,-70,29.5,-73.5,4,3.1543e-08,5.578e-08,4,"N"
"25","101.1997.5.1.25.-70",1997,5,101,3,1,4,4,0.352,1,1,0,25,-70,28.5,-73.5,4,3.0283e-08,4.4629e-08,2,"N"
"26","101.1998.4.1.30.-70",1998,4,101,3,1,4,4,0.924,2,2,0,30,-70,31.5,-72.5,4,2.97985e-08,2.97955e-08,2,"N"
"27","101.1998.5.1.25.-70",1998,5,101,3,1,4,4,3.476,9,20,0,25,-70,29.5,-71.5,4,3.1448e-08,3.0541e-08,2,"N"
"28","101.1999.10.1.25.-70",1999,10,101,3,1,4,4,0.744,2,4,0,25,-70,28.5,-72.5,4,3.0366e-08,6.3488e-08,4,"N"
"29","101.1999.10.1.25.-85",1999,10,101,3,1,4,4,7.648,9,45,2,25,-85,27.5,-86.5,4,3.5811e-08,5.2414e-08,4,"N"
"30","101.1999.5.1.25.-75",1999,5,101,3,1,4,4,1.404,4,8,0,25,-75,26.5,-75.5,4,3.1607e-08,6.4344e-08,2,"N"
"31","101.1999.7.1.25.-75",1999,7,101,3,1,4,4,1.656,6,6,0,25,-75,27.5,-75.5,4,3.10685e-08,1.02916e-07,3,"N"
"32","101.2000.6.1.25.-80",2000,6,101,3,1,4,4,5.096,6,0,0,25,-80,28,-84.5,4,0,0,2,"N"
"33","101.2001.10.1.25.-80",2001,10,101,3,1,4,4,0.8,1,0,1,25,-80,27.5,-84.5,4,0,3.7496e-08,4,"N"
"34","101.2001.11.1.30.-70",2001,11,101,3,1,4,4,0.4,1,2,0,30,-70,32.5,-74.5,4,3.1618e-08,4.7886e-08,4,"N"
"35","101.2001.7.1.35.-65",2001,7,101,3,1,4,4,0.3,1,0,0,35,-65,37.5,-67.5,4,3.2958e-08,3.8404e-08,3,"N"
"36","101.2002.11.1.25.-70",2002,11,101,3,1,4,4,4.192,14,22,0,25,-70,29.5,-72,4,3.0839e-08,5.16965e-08,4,"N"
"37","101.2002.5.1.25.-85",2002,5,101,3,1,4,4,1.6,2,11,0,25,-85,27.5,-86.5,4,3.3549e-08,5.1944e-08,2,"N"
"38","101.2003.4.1.25.-85",2003,4,101,3,1,4,4,2.652,3,5,0,25,-85,28.5,-85.5,4,0,1.5533e-08,2,"N"
"39","101.2006.6.1.25.-85",2006,6,101,3,1,4,4,3.224,4,22,1,25,-85,27.5,-89,4,3.5081e-08,5.4634e-08,2,"N"
"40","101.2012.8.1.25.-85",2012,8,101,3,1,4,4,0.8,1,0,0,25,-85,28.5,-85.5,4,0,5.0821e-08,3,"N"
"41","102.1996.3.1.25.-85",1996,3,102,3,1,4,4,1.6,2,12,0,25,-85,27.5,-85.5,5,3.5471e-08,2.3158e-08,1,"N"
"42","102.1996.7.1.25.-70",1996,7,102,3,1,4,4,0.65,2,2,0,25,-70,27.5,-73.5,5,3.3097e-08,7.6831e-08,3,"N"
"43","102.1996.8.1.20.-65",1996,8,102,3,1,4,4,0.8,2,4,1,20,-65,21.5,-67.5,5,3.1574e-08,1.676e-07,3,"N"
"44","102.1997.3.1.25.-85",1997,3,102,3,1,4,4,2.4,3,13,0,25,-85,27.5,-86.5,5,3.5364e-08,3.47e-08,1,"N"
"45","102.1999.9.1.25.-75",1999,9,102,3,1,4,4,0.4,1,1,0,25,-75,26.5,-75.5,5,3.3348e-08,1.241e-07,3,"N"
