period,location ,mass
1,1,78
1,1,88
1,1,87
1,1,88
1,1,83
1,1,82
1,1,81
1,1,80
1,1,80
1,1,89
1,2,78
1,2,78
1,2,83
1,2,81
1,2,78
1,2,81
1,2,81
1,2,82
1,2,76
1,2,76
1,3,79
1,3,73
1,3,79
1,3,75
1,3,77
1,3,78
1,3,80
1,3,78
1,3,83
1,3,84
1,4,77
1,4,69
1,4,75
1,4,70
1,4,74
1,4,83
1,4,80
1,4,75
1,4,76
1,4,75
2,1,85
2,1,88
2,1,86
2,1,95
2,1,100
2,1,87
2,1,98
2,1,86
2,1,89
2,1,94
2,2,84
2,2,88
2,2,91
2,2,96
2,2,86
2,2,87
2,2,93
2,2,87
2,2,94
2,2,96
2,3,91
2,3,90
2,3,87
2,3,84
2,3,86
2,3,88
2,3,92
2,3,96
2,3,83
2,3,85
2,4,90
2,4,87
2,4,85
2,4,81
2,4,84
2,4,86
2,4,82
2,4,80
2,4,90
2,4,77
