Y1,Y2,Y3,Y4,Y5,wt,z,prevcap1,prevcap2,prevcap3,prevcap4,prevcap5
0,1,1,0,0,-0.400292428,1,0,0,1,1,1
1,0,1,1,0,0.352496318,1,0,1,1,1,1
1,1,1,0,1,1.523501033,1,0,1,1,1,1
1,1,1,1,1,0.603425899,1,0,1,1,1,1
0,0,0,0,1,-0.316649234,1,0,0,0,0,0
1,0,1,0,1,-0.149362846,1,0,1,1,1,1
1,1,1,1,1,1.523501033,1,0,1,1,1,1
1,1,1,1,1,0.436139511,1,0,1,1,1,1
1,1,1,0,1,1.523501033,1,0,1,1,1,1
0,1,0,1,0,-0.567578816,1,0,0,1,1,1
1,1,1,1,1,0.519782705,1,0,1,1,1,1
0,1,1,0,1,-0.483935622,1,0,0,1,1,1
1,1,1,1,1,0.770712287,1,0,1,1,1,1
0,1,1,1,1,-1.404010756,1,0,0,1,1,1
1,1,0,1,1,-0.65122201,1,0,1,1,1,1
1,1,1,0,0,1.523501033,1,0,1,1,1,1
1,1,1,1,1,1.523501033,1,0,1,1,1,1
0,0,0,1,0,-1.153081174,1,0,0,0,0,1
0,1,0,1,0,-2.407729084,1,0,0,1,1,1
0,1,0,1,1,0.268853124,1,0,0,1,1,1
0,1,1,0,0,1.523501033,1,0,0,1,1,1
1,1,0,1,1,1.523501033,1,0,1,1,1,1
1,1,1,1,1,0.268853124,1,0,1,1,1,1
1,1,1,1,1,0.854355481,1,0,1,1,1,1
0,0,0,1,0,-1.236724368,1,0,0,0,0,1
0,0,1,0,0,-0.985794786,1,0,0,0,1,1
1,0,1,0,0,-0.734865204,1,0,1,1,1,1
1,1,1,0,1,-0.316649234,1,0,1,1,1,1
1,1,0,1,1,-0.567578816,1,0,1,1,1,1
1,1,1,1,1,-0.985794786,1,0,1,1,1,1
1,1,1,1,0,0.770712287,1,0,1,1,1,1
0,0,0,1,0,-2.32408589,1,0,0,0,0,1
0,1,0,1,1,-0.483935622,1,0,0,1,1,1
0,1,0,0,0,-0.400292428,1,0,0,1,1,1
1,0,0,0,0,-1.654940338,1,0,1,1,1,1
1,1,0,0,0,-0.902151592,1,0,1,1,1,1
1,1,1,1,1,1.523501033,1,0,1,1,1,1
1,1,1,1,1,1.021641869,1,0,1,1,1,1
0,1,1,1,1,-0.23300604,1,0,0,1,1,1
0,1,0,0,0,-1.153081174,1,0,0,1,1,1
1,1,1,1,1,-0.985794786,1,0,1,1,1,1
1,1,1,1,0,0.18520993,1,0,1,1,1,1
0,0,0,1,0,-0.316649234,1,0,0,0,0,1
0,1,1,1,1,0.603425899,1,0,0,1,1,1
1,0,1,0,1,-0.483935622,1,0,1,1,1,1
1,1,1,1,1,0.352496318,1,0,1,1,1,1
1,1,1,1,0,0.603425899,1,0,1,1,1,1
0,0,0,1,0,-0.316649234,1,0,0,0,0,1
0,1,1,1,0,0.017923542,1,0,0,1,1,1
0,0,0,0,1,-0.65122201,1,0,0,0,0,0
0,0,1,0,0,-0.65122201,1,0,0,0,1,1
0,1,1,0,0,-0.149362846,1,0,0,1,1,1
1,1,1,1,1,0.687069093,1,0,1,1,1,1
1,0,1,0,1,0.937998675,1,0,1,1,1,1
1,1,1,1,1,1.523501033,1,0,1,1,1,1
0,0,1,0,1,0.101566736,1,0,0,0,1,1
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
0,0,0,0,0,NA,NA,0,0,0,0,0
